Problem,Instance,Algorithm,Initial State,Final State,Initial Value,Final Value,Value Improvement,Optimal Steps,Local Steps,Optimality Gap,Solution Found,Steps,Runtime,Value History
8-Puzzle,0,Hill Climbing (Steepest),"(1, 2, 6, 8, 5, 4, 0, 3, 7)","(1, 2, 6, 0, 5, 4, 8, 3, 7)",-14,-13,-1,22.0,1,-21.0,False,1,0.03151202201843262,"[-14, -13]"
8-Puzzle,0,Hill Climbing (First Choice),"(1, 2, 6, 8, 5, 4, 0, 3, 7)","(1, 2, 6, 0, 5, 4, 8, 3, 7)",-14,-13,-1,22.0,1,-21.0,False,1,6.985664367675781e-05,"[-14, -13]"
8-Puzzle,0,Hill Climbing (Random Restart),"(1, 2, 6, 8, 5, 4, 0, 3, 7)","(1, 2, 4, 3, 0, 5, 6, 8, 7)",-14,-6,-8,22.0,49,27.0,False,49,0.0008869171142578125,"[-12, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -14, -13, -12, -14, -13, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -15, -14, -13, -12, -11, -10, -18, -17, -16, -15, -14, -13, -12, -14, -16, -12, -11, -10, -9, -8, -7, -6]"
8-Puzzle,0,Simulated Annealing (Exponential),"(1, 2, 6, 8, 5, 4, 0, 3, 7)","(2, 4, 8, 6, 7, 3, 5, 0, 1)",-14,-15,1,22.0,967,945.0,False,967,0.005365848541259766,"[-14, -13, -14, -13, -14, -13, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -16, -15, -14, -15, -16, -15, -14, -15, -14, -15, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -16, -15, -14, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -13, -14, -13, -12, -13, -14, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -12, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -15, -16, -15, -16, -15, -16, -15, -14, -15, -16, -15, -14, -15, -16, -15, -14, -15, -16, -15, -16, -15, -14, -15, -16, -15, -16, -15, -16, -15, -14, -15, -16, -15, -14, -15, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -12, -13, -14, -15, -14, -15, -16, -15, -14, -13, -12, -13, -14, -15, -14, -13, -14, -15, -14, -15, -14, -15, -14, -13, -14, -13, -14, -15, -16, -15, -14, -15, -14, -13, -14, -15, -14, -15, -16, -15, -14, -13, -12, -13, -14, -13, -14, -13, -12, -13, -14, -13, -12, -11, -12, -13, -14, -13, -12, -13, -12, -13, -14, -15, -14, -15, -14, -13, -14, -13, -14, -13, -14, -13, -14, -15, -16, -15, -14, -15, -16, -15, -14, -13, -12, -13, -12, -13, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -16, -15, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -14, -15, -14, -15, -14, -15, -16, -15, -16, -17, -16, -15, -16, -15, -14, -15, -16, -15, -14, -15, -14, -13, -14, -15, -14, -13, -12, -11, -12, -11, -12, -11, -10, -11, -12, -11, -12, -11, -10, -11, -10, -9, -8, -9, -8, -9, -8, -9, -8, -7, -6, -7, -8, -7, -6, -5, -6, -5, -6, -7, -6, -7, -6, -7, -6, -7, -8, -9, -10, -9, -10, -9, -8, -9, -8, -9, -8, -9, -8, -7, -8, -9, -8, -9, -8, -9, -10, -9, -10, -9, -8, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -11, -12, -11, -10, -9, -8, -9, -8, -9, -8, -7, -8, -9, -8, -9, -8, -9, -8, -9, -10, -9, -10, -9, -10, -9, -10, -11, -12, -11, -12, -11, -10, -11, -10, -11, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -11, -10, -11, -10, -11, -10, -11, -12, -11, -12, -11, -12, -13, -12, -11, -10, -11, -10, -9, -10, -11, -10, -11, -10, -11, -12, -13, -12, -11, -10, -9, -8, -9, -8, -9, -10, -9, -10, -9, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -9, -10, -9, -10, -11, -10, -11, -10, -11, -12, -11, -10, -9, -10, -9, -10, -9, -10, -9, -10, -11, -10, -11, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -11, -10, -11, -10, -11, -12, -11, -12, -13, -12, -13, -12, -11, -12, -11, -10, -9, -10, -9, -8, -9, -10, -9, -10, -11, -10, -11, -10, -11, -10, -11, -12, -13, -14, -13, -12, -13, -14, -13, -12, -13, -14, -15, -14, -13, -14, -15, -14, -13, -12, -11, -12, -11, -12, -11, -12, -11, -10, -9, -10, -11, -12, -11, -10, -11, -10, -11, -12, -13, -14, -13, -14, -15, -14, -15, -14, -15, -16, -15, -16, -15, -14, -13, -12, -11, -10, -9, -10, -9, -8, -9, -10, -11, -10, -9, -10, -9, -10, -11, -12, -11, -12, -11, -10, -11, -12, -11, -10, -11, -10, -11, -12, -11, -10, -11, -12, -11, -12, -11, -10, -11, -12, -11, -10, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -12, -11, -12, -13, -14, -13, -14, -15, -16, -15, -16, -15, -16, -15, -14, -13, -14, -13, -12, -11, -10, -11, -12, -11, -12, -13, -14, -13, -14, -15, -16, -15, -16, -15, -16, -15, -14, -15, -16, -15, -16, -17, -18, -17, -16, -15, -16, -15, -14, -15, -16, -15, -16, -15, -14, -15, -14, -13, -14, -13, -12, -11, -12, -13, -12, -13, -12, -11, -10, -11, -10, -11, -10, -9, -8, -7, -8, -7, -6, -5, -6, -5, -6, -7, -8, -9, -10, -9, -10, -9, -10, -9, -8, -9, -10, -9, -10, -9, -10, -9, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -9, -8, -7, -6, -5, -6, -5, -6, -5, -6, -5, -4, -5, -4, -5, -6, -7, -8, -7, -6, -7, -8, -7, -6, -7, -6, -7, -8, -9, -8, -9, -8, -9, -10, -9, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -12, -11, -12, -11, -12, -13, -12, -13, -12, -13, -12, -13, -14, -13, -12, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -15, -16, -15, -14, -13, -12, -13, -12, -13, -14, -15, -16, -15, -14, -13, -12, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -15, -14, -15, -14, -15]"
8-Puzzle,0,Simulated Annealing (Linear),"(1, 2, 6, 8, 5, 4, 0, 3, 7)","(3, 1, 2, 5, 7, 0, 6, 4, 8)",-14,-5,-9,22.0,231,209.0,False,231,0.005420207977294922,"[-14, -13, -14, -13, -14, -13, -14, -13, -12, -13, -14, -13, -12, -11, -10, -9, -10, -9, -8, -9, -10, -9, -10, -9, -10, -9, -8, -7, -8, -9, -8, -9, -8, -7, -8, -9, -10, -9, -8, -7, -8, -7, -8, -7, -8, -9, -8, -7, -8, -7, -8, -7, -8, -7, -8, -7, -6, -5, -6, -5, -6, -5, -6, -7, -6, -5, -4, -5, -4, -5, -4, -5, -4, -5, -6, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -4, -5, -6, -5, -4, -5, -4, -5, -6, -5, -6, -5, -6, -5, -4, -5, -6, -5, -4, -5, -4, -5, -4, -5, -6, -7, -8, -7, -6, -7, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -4, -5, -6, -5, -6, -7, -6, -5, -6, -5, -4, -5, -6, -7, -6, -7, -6, -7, -8, -9, -8, -7, -6, -5, -4, -5, -6, -5, -4, -5, -4, -5, -6, -5, -6, -5, -4, -5, -4, -5, -6, -5, -6, -5, -4, -5, -4, -5, -6, -5, -4, -5, -6, -5, -4, -5, -4, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -4, -5, -6, -5, -4, -5, -4, -5, -4, -5, -4, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5, -6, -5]"
8-Puzzle,1,Hill Climbing (Steepest),"(0, 6, 8, 1, 2, 4, 5, 7, 3)","(1, 6, 8, 5, 2, 4, 0, 7, 3)",-16,-14,-2,22.0,2,-20.0,False,2,6.67572021484375e-05,"[-16, -15, -14]"
8-Puzzle,1,Hill Climbing (First Choice),"(0, 6, 8, 1, 2, 4, 5, 7, 3)","(1, 6, 8, 5, 2, 4, 0, 7, 3)",-16,-14,-2,22.0,2,-20.0,False,2,4.839897155761719e-05,"[-16, -15, -14]"
8-Puzzle,1,Hill Climbing (Random Restart),"(0, 6, 8, 1, 2, 4, 5, 7, 3)","(0, 1, 8, 4, 2, 5, 7, 6, 3)",-16,-10,-6,22.0,26,4.0,False,26,0.0006515979766845703,"[-16, -17, -16, -17, -16, -17, -16, -15, -17, -16, -13, -12, -11, -10, -14, -13, -12, -14, -19, -18, -17, -16, -17, -16, -15, -14, -13]"
8-Puzzle,1,Simulated Annealing (Exponential),"(0, 6, 8, 1, 2, 4, 5, 7, 3)","(5, 3, 4, 8, 2, 1, 0, 7, 6)",-16,-16,0,22.0,972,950.0,False,972,0.006432533264160156,"[-16, -15, -16, -15, -16, -15, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -16, -15, -14, -13, -14, -15, -16, -15, -16, -15, -16, -17, -16, -17, -16, -17, -16, -17, -16, -17, -18, -17, -16, -17, -16, -17, -16, -17, -18, -17, -16, -17, -16, -17, -16, -15, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -13, -12, -13, -12, -13, -12, -13, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -14, -13, -14, -13, -14, -15, -14, -15, -16, -17, -16, -17, -16, -17, -16, -17, -18, -19, -18, -17, -18, -19, -20, -19, -20, -19, -18, -19, -18, -19, -20, -19, -18, -19, -20, -19, -18, -19, -18, -19, -18, -19, -18, -19, -18, -19, -20, -19, -18, -19, -18, -19, -18, -19, -18, -19, -18, -19, -20, -21, -20, -19, -18, -19, -18, -19, -18, -19, -20, -21, -20, -21, -20, -19, -20, -21, -20, -21, -20, -21, -20, -21, -20, -21, -20, -21, -20, -21, -20, -19, -18, -17, -18, -19, -18, -19, -18, -17, -16, -17, -16, -17, -16, -15, -14, -15, -16, -15, -14, -15, -14, -13, -14, -15, -14, -15, -14, -13, -14, -13, -12, -13, -12, -13, -12, -13, -14, -13, -12, -11, -10, -11, -10, -9, -10, -9, -10, -9, -8, -9, -10, -9, -8, -7, -6, -7, -8, -7, -6, -7, -6, -5, -4, -5, -4, -5, -4, -5, -6, -5, -4, -5, -6, -5, -6, -5, -6, -5, -6, -7, -8, -9, -10, -9, -8, -9, -10, -11, -10, -9, -8, -9, -8, -9, -10, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -10, -11, -12, -13, -12, -11, -10, -9, -10, -11, -10, -9, -10, -11, -10, -11, -10, -9, -8, -9, -10, -9, -8, -9, -8, -9, -8, -9, -8, -9, -10, -9, -8, -9, -10, -11, -10, -11, -10, -9, -10, -11, -12, -11, -12, -13, -12, -11, -12, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -9, -10, -9, -10, -11, -10, -11, -10, -11, -10, -11, -12, -13, -14, -13, -12, -13, -12, -11, -10, -11, -10, -11, -12, -11, -10, -11, -12, -11, -10, -11, -10, -11, -12, -11, -12, -13, -12, -13, -12, -13, -14, -15, -16, -15, -14, -13, -14, -13, -12, -13, -14, -13, -14, -15, -14, -15, -14, -15, -16, -15, -16, -17, -16, -17, -16, -15, -16, -17, -18, -17, -16, -15, -16, -15, -16, -17, -18, -17, -16, -15, -16, -15, -16, -17, -16, -15, -16, -15, -16, -15, -16, -17, -16, -15, -16, -15, -16, -15, -14, -15, -14, -15, -14, -13, -14, -15, -16, -15, -14, -13, -12, -11, -12, -13, -12, -13, -14, -15, -16, -17, -16, -17, -16, -17, -16, -17, -16, -15, -16, -15, -14, -15, -16, -15, -16, -17, -16, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -13, -14, -13, -12, -13, -12, -13, -12, -11, -12, -13, -12, -11, -10, -11, -12, -13, -12, -13, -12, -11, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -9, -10, -11, -12, -11, -10, -9, -10, -11, -10, -11, -10, -11, -10, -9, -10, -9, -10, -9, -8, -7, -8, -7, -6, -7, -6, -7, -8, -7, -6, -7, -6, -7, -8, -7, -8, -9, -10, -9, -8, -9, -8, -9, -8, -9, -8, -9, -10, -9, -8, -7, -8, -9, -10, -9, -10, -9, -8, -9, -10, -9, -10, -9, -10, -9, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -13, -14, -13, -14, -13, -12, -11, -10, -9, -10, -9, -10, -11, -12, -11, -10, -11, -12, -13, -12, -11, -12, -11, -12, -13, -12, -13, -12, -13, -14, -15, -14, -15, -14, -13, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -13, -12, -13, -12, -13, -14, -13, -14, -15, -16, -17, -16, -17, -18, -17, -16, -17, -18, -17, -16, -15, -16, -15, -16, -17, -18, -17, -18, -17, -18, -17, -18, -17, -18, -17, -16, -17, -16, -15, -16, -15, -16, -15, -16, -15, -16, -17, -18, -17, -18, -17, -16, -15, -16, -15, -16, -15, -14, -13, -12, -13, -14, -13, -12, -13, -12, -13, -12, -11, -10, -11, -10, -9, -8, -7, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -8, -9, -10, -11, -12, -13, -14, -15, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -12, -13, -14, -13, -14, -15, -14, -13, -14, -13, -14, -15, -16, -17, -16, -15, -14, -13, -14, -13, -14, -13, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -11, -12, -13, -14, -15, -14, -15, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -14, -13, -12, -13, -12, -13, -12, -11, -12, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -12, -13, -12, -13, -12, -13, -14, -13, -14, -15, -14, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -14, -13, -14, -13, -14, -13, -14, -13, -12, -13, -12, -13, -12, -11, -12, -11, -12, -13, -12, -13, -14, -15, -16, -15, -16, -17, -16, -17, -16, -17, -16, -17, -16]"
8-Puzzle,1,Simulated Annealing (Linear),"(0, 6, 8, 1, 2, 4, 5, 7, 3)","(3, 1, 8, 6, 0, 5, 4, 7, 2)",-16,-8,-8,22.0,226,204.0,False,226,0.005990743637084961,"[-16, -15, -16, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -14, -15, -16, -15, -14, -15, -14, -15, -14, -13, -12, -13, -12, -13, -14, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -12, -13, -14, -15, -14, -13, -12, -11, -12, -11, -10, -11, -12, -11, -12, -13, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -13, -12, -13, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -12, -13, -12, -13, -12, -13, -12, -13, -12, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -11, -10, -9, -10, -9, -8, -9, -8]"
